nodenumber     x-coordinate     y-coordinate      temperature      mach-number         pressure 
       182  7.254200000E-01  0.000000000E+00  9.451459925E+02  3.661663996E+00  1.565682515E+04 
       183  7.302800000E-01  0.000000000E+00  9.415494093E+02  3.674906613E+00  1.530433153E+04 
       184  7.351400000E-01  0.000000000E+00  9.377347401E+02  3.688999766E+00  1.489133066E+04 
       185  7.400000000E-01  0.000000000E+00  9.362013984E+02  3.694678468E+00  1.465823357E+04 
       186  2.457554631E-01  5.826185344E-04  1.865961418E+03  9.288847571E-01  1.845574059E+06 
       187  2.441064690E-01  5.827577946E-04  1.873093716E+03  9.021086236E-01  1.895501294E+06 
       188  2.474044486E-01  5.833730526E-04  1.858531790E+03  9.561899179E-01  1.794428629E+06 
       189  2.424574861E-01  5.835633507E-04  1.879955108E+03  8.757757070E-01  1.944727444E+06 
       190  2.490534099E-01  5.848063883E-04  1.850493599E+03  9.851046123E-01  1.741339291E+06 
       191  2.408085289E-01  5.850319102E-04  1.886590853E+03  8.497236484E-01  1.993304490E+06 
       192  2.507023322E-01  5.869072509E-04  1.841925237E+03  1.015300679E+00  1.684008586E+06 
       193  2.391596120E-01  5.871601781E-04  1.892998497E+03  8.239669496E-01  2.041214531E+06 
       194  2.523512002E-01  5.896781055E-04  1.831508094E+03  1.051141357E+00  1.621659104E+06 
       195  2.375107603E-01  5.900545081E-04  1.899177610E+03  7.985152078E-01  2.088331595E+06 
       196  2.539999985E-01  5.931212381E-04  1.821819069E+03  1.083832723E+00  1.566403906E+06 
       197  2.358619838E-01  5.936348815E-04  1.905119674E+03  7.734139259E-01  2.134519638E+06 
       198  2.342133134E-01  5.980024955E-04  1.910819516E+03  7.486998138E-01  2.179642447E+06 
       199  2.325647542E-01  6.030643839E-04  1.916273787E+03  7.244062858E-01  2.223585664E+06 
       200  2.309163226E-01  6.088181507E-04  1.921482454E+03  7.005562711E-01  2.266259744E+06 
       201  2.292680347E-01  6.152609485E-04  1.926446227E+03  6.771729080E-01  2.307576517E+06 
       202  2.588599985E-01  6.151514555E-04  1.799024926E+03  1.158073834E+00  1.430662225E+06 
       203  2.276199069E-01  6.223894782E-04  1.931167367E+03  6.542751816E-01  2.347474768E+06 
       204  2.259719550E-01  6.301999962E-04  1.935649622E+03  6.318778234E-01  2.385898983E+06 
       205  2.637199985E-01  6.371816729E-04  1.772918060E+03  1.240050056E+00  1.292408835E+06 
       206  2.243242195E-01  6.387702020E-04  1.939897238E+03  6.099953908E-01  2.422809814E+06 
       207  2.226766937E-01  6.480131000E-04  1.943915721E+03  5.886381144E-01  2.458179850E+06 
       208  2.210293934E-01  6.579236791E-04  1.947710832E+03  5.678165510E-01  2.491990099E+06 
       209  2.685799985E-01  6.592118903E-04  1.744156528E+03  1.327117142E+00  1.152809043E+06 
       210  2.193823340E-01  6.684965029E-04  1.951288603E+03  5.475413925E-01  2.524227303E+06 
       211  2.177355310E-01  6.797257147E-04  1.954656436E+03  5.278165681E-01  2.554902186E+06 
       212  2.734399985E-01  6.812421077E-04  1.713619827E+03  1.416619783E+00  1.018999531E+06 
       213  2.160889995E-01  6.916050450E-04  1.957822667E+03  5.086409321E-01  2.584033616E+06 
       214  2.782999986E-01  7.032723251E-04  1.681818166E+03  1.507334534E+00  8.940531257E+05 
       215  2.144427931E-01  7.042113227E-04  1.960794424E+03  4.900207627E-01  2.611632541E+06 
       216  2.127968846E-01  7.174423380E-04  1.963579270E+03  4.719597171E-01  2.637726137E+06 
       217  2.831599986E-01  7.253025425E-04  1.649174379E+03  1.598429794E+00  7.796506834E+05 
       218  2.111513251E-01  7.313613970E-04  1.966186238E+03  4.544514552E-01  2.662359447E+06 
